config_id,accel,fifo_depth,reg_slices,clock_crossing,shell,luts,ffs,brams,dsps,wns,tns,status
65,accel_lat16,4,2,1,1,1610,1985,0,0,N/A,N/A,PASS
63,accel_lat16,4,1,1,1,1610,1985,0,0,N/A,N/A,PASS
66,accel_lat16,8,0,0,1,185,1250,0,0,N/A,N/A,PASS
68,accel_lat16,8,1,0,1,186,1892,0,0,N/A,N/A,PASS
67,accel_lat16,8,0,1,1,1627,2001,0,0,N/A,N/A,PASS
70,accel_lat16,8,2,0,1,189,2534,0,0,N/A,N/A,PASS
69,accel_lat16,8,1,1,1,1627,2001,0,0,N/A,N/A,PASS
71,accel_lat16,8,2,1,1,1627,2001,0,0,N/A,N/A,PASS
74,accel_lat16,16,1,0,1,206,1902,0,0,N/A,N/A,PASS
72,accel_lat16,16,0,0,1,205,1260,0,0,N/A,N/A,PASS
73,accel_lat16,16,0,1,1,1631,2017,0,0,N/A,N/A,PASS
76,accel_lat16,16,2,0,1,211,2544,0,0,N/A,N/A,PASS
77,accel_lat16,16,2,1,1,1631,2017,0,0,N/A,N/A,PASS
75,accel_lat16,16,1,1,1,1631,2017,0,0,N/A,N/A,PASS
78,accel_lat16,32,0,0,1,223,1278,0,0,N/A,N/A,PASS
80,accel_lat16,32,1,0,1,224,1920,0,0,N/A,N/A,PASS
79,accel_lat16,32,0,1,1,1649,2033,0,0,N/A,N/A,PASS
82,accel_lat16,32,2,0,1,228,2562,0,0,N/A,N/A,PASS
81,accel_lat16,32,1,1,1,1649,2033,0,0,N/A,N/A,PASS
83,accel_lat16,32,2,1,1,1649,2033,0,0,N/A,N/A,PASS
84,accel_lat16,64,0,0,1,283,1312,0,0,N/A,N/A,PASS
86,accel_lat16,64,1,0,1,284,1954,0,0,N/A,N/A,PASS
85,accel_lat16,64,0,1,1,1791,2082,0,0,N/A,N/A,PASS
88,accel_lat16,64,2,0,1,351,2596,0,0,N/A,N/A,PASS
89,accel_lat16,64,2,1,1,1791,2082,0,0,N/A,N/A,PASS
87,accel_lat16,64,1,1,1,1791,2082,0,0,N/A,N/A,PASS
